Iteration,Root Node Side Length,Input 0,Input 1,Input 2,Input 3,Input 4,Input 5,Input 6,Input 7,Input 8,Input 9,Input 10,Input 11,Input 12,Input 13,Input 14,Input 15,Input 16,Input 17,Input 18,Input 19,Input 20,Input 21,Input 22,Input 23,Input 24,Input 25,Input 26,Input 27,Input 28,Input 29,Input 30,Input 31,Input 32,Weight 0,Weight 1,Weight 2,Weight 3,Weight 4,Weight 5,Weight 6,Weight 7,Weight 8,Weight 9,Weight 10,Weight 11,Weight 12,Weight 13,Weight 14,Weight 15,Weight 16,Weight 17,Weight 18,Weight 19,Weight 20,Weight 21,Weight 22,Weight 23,Weight 24,Weight 25,Weight 26,Weight 27,Weight 28,Weight 29,Weight 30,Weight 31,Weight 32,Output Signal
1,100,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.513821,3.18034,12.0727,1.31494,1.29282,0.753544,4.71025,3.86657,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,10.4056
2,100,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168197,3.18034,12.0727,0.96932,1.29282,0.753544,4.36462,3.52094,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,9.02309
3,100,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135533,3.18034,12.0727,0.665591,1.29282,0.753544,4.06089,3.21721,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,7.80817
4,100,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.402447,3.18034,12.0727,0.398677,1.29282,0.753544,3.79398,2.9503,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,6.74051
5,100,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.637008,3.18034,12.0727,0.164116,1.29282,0.753544,3.55942,2.71574,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,5.80227
6,100,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.843137,3.18034,12.0727,-0.0420136,1.29282,0.753544,3.35329,2.50961,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,4.97775
7,100,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.02428,3.18034,12.0727,-0.223158,1.29282,0.753544,3.17214,2.32847,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,4.25317
8,100,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.18347,3.18034,12.0727,-0.382345,1.29282,0.753544,3.01296,2.16928,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,3.61642
9,100,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.32336,3.18034,12.0727,-0.522236,1.29282,0.753544,2.87307,2.02939,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,3.05686
10,100,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.44629,3.18034,12.0727,-0.645171,1.29282,0.753544,2.75013,1.90645,2.28206,12.6433,1.31167,0.919576,0.955892,0.620822,3.0966,2.62051,0.222732,0.655355,2.2413,1.81326,3.08283,0.405647,6.09237,3.45493,1.73027,0.286632,1.35534,0.584133,0.286896,1.9554,0.250941,2.42318,17.2211,2.56512
