Iteration,Input 0,Input 1,Input 2,Input 3,Input 4,Input 5,Input 6,Input 7,Input 8,Input 9,Input 10,Input 11,Input 12,Input 13,Input 14,Input 15,Input 16,Input 17,Input 18,Input 19,Input 20,Weight 0,Weight 1,Weight 2,Weight 3,Weight 4,Weight 5,Weight 6,Weight 7,Weight 8,Weight 9,Weight 10,Weight 11,Weight 12,Weight 13,Weight 14,Weight 15,Weight 16,Weight 17,Weight 18,Weight 19,Weight 20,Output Signal
1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2.63521,0.00236524,0.543913,0.705222,0.111504,0.642431,0.506566,0.282595,0.22266,0.634518,1.02132,1.19749,7.33173,2.9182,1.17034,2.93479,0.804497,0.565822,2.96511,1.58104,0.406745,27.756
2,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0.94341,-1.68944,-1.14789,-0.98658,-1.5803,-1.04937,-1.18524,-1.40921,-1.46914,-1.05728,1.02132,-0.494309,5.63993,1.2264,0.445945,2.21039,0.0800972,-0.158577,2.24072,-0.110757,0.406745,4.37832
3,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0.530759,-2.10209,-1.56054,-1.39923,-1.99295,-1.04937,-1.18524,-1.40921,-1.46914,-1.05728,1.02132,-0.90696,5.22728,0.888704,0.10825,1.87269,-0.0263053,-0.264979,2.24072,-0.523409,0.406745,7.19731
4,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0.0970097,-2.10209,-1.56054,-1.39923,-1.99295,-1.04937,-1.18524,-1.40921,-1.46914,-1.05728,1.02132,-1.29274,4.8415,0.502924,-0.27753,1.48691,-0.0263053,-0.264979,2.24072,-0.957157,0.406745,4.24826
5,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,-0.152907,-2.35201,-1.56054,-1.39923,-1.99295,-1.04937,-1.18524,-1.40921,-1.46914,-1.05728,1.02132,-1.54266,4.59158,0.253007,-0.527447,1.237,-0.276222,-0.514896,1.9908,-1.20707,0.406745,-11.786
6,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0.455951,-1.74315,-0.951682,-0.790373,-1.38409,-0.440512,-0.576377,-0.800349,-0.860284,-0.448426,1.02132,-0.933799,5.20044,0.253007,-0.527447,1.237,-0.276222,-0.514896,1.9908,-0.598216,0.406745,-3.16943
7,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0.654495,-1.5446,-0.753138,-0.591828,-1.18555,-0.241968,-0.377833,-0.601804,-0.66174,-0.448426,1.02132,-0.735254,5.39898,0.451551,-0.527447,1.237,-0.276222,-0.514896,1.9908,-0.399672,0.406745,-6.15206
8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0.99507,-1.20403,-0.412564,-0.251254,-0.844972,0.0986066,-0.0372586,-0.26123,-0.321165,-0.107851,1.02132,-0.735254,5.39898,0.451551,-0.527447,1.237,-0.276222,-0.514896,1.9908,-0.0590973,0.406745,3.14286
9,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0.797791,-1.40131,-0.609843,-0.448533,-1.04225,-0.0986726,-0.234538,-0.458509,-0.518444,-0.30513,1.02132,-0.932534,5.2017,0.254272,-0.724726,1.03972,-0.473502,-0.514896,1.9908,-0.256377,0.406745,6.38225
10,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0.24372,-1.40131,-0.609843,-0.448533,-1.04225,-0.0986726,-0.234538,-0.458509,-0.518444,-0.30513,1.02132,-1.4866,4.64763,-0.299798,-1.2788,0.485648,-0.72377,-0.765165,1.74053,-0.810447,0.406745,-5.68396
